ts	phase	decision	why	evidence	result
2026-08-23	frame	campaign phases: source -> schema -> clone 7 -> wave1 judges -> adjudicate/fix loop -> converge -> held-out close	plan Shape + Loop rows	docs/plans/2026-08-23-sightline-gauntlet.md
2026-08-23	frame	seed 20260823 pinned in gauntlet_source.py before any sampling	plan: "sampled with a pinned seed"	scripts/gauntlet_source.py:SEED
2026-08-23	frame	sourcing measures candidates via temp clone deleted before return; held-out ban reads from split declaration onward (sourcing precedes the split; no human/model reads candidate code)	LoC/typedness filters are unmeasurable without the tree; ban intent is loop contamination, not measurement	scripts/gauntlet_source.py:measure
2026-08-23	frame	held-out split stratified: >=1 typed, >=1 partial/untyped, 1 rest, seeded	criterion 6 tier numbers need both typing strata held out	scripts/gauntlet_source.py:select
2026-08-23	frame	typedness buckets pinned: coverage >=0.65 typed, <=0.35 untyped, else partial; domain = first keyword match web>cli>data>lib	objective, pre-declared before sampling	scripts/gauntlet_source.py:DOMAINS
2026-08-23	source	counter definition pinned by fixture test	plan: "one pinned counter, arguments end"	tests/test_gauntlet_count.py	3 passed
2026-08-23	dogfood	#29 fired on nested closure consider() inside cost-documented select(); fixed with docstring, flagged as possible threshold/scoping question for adjudication	gate hook block on gauntlet_source.py	scripts/gauntlet_source.py:consider	noted, no detector change
2026-08-23	source	pool built: 2429 candidates (mit/apache capped at 1000 by search API, recorded in queries)	objective snapshot is the pool pin	corpus-ext/pool.json
2026-08-23	source	selection: 16 tried, 10 accepted, 6 rejected (3 loc-below-min, 3 loc-above-soft); strata 5 typed / 5 untyped / domains lib+data+web	seeded walk, quota feasibility	corpus-ext/sourcing_log.json
2026-08-23	source	split declared: held-out = huggingface/optimum, test-time-training/ttt-video-dit, rushter/MLAlgorithms; ban on cloning/reading/auditing them active from this row until convergence	plan Split + Banned shortcuts	corpus-ext/manifest.json
2026-08-23	wave1	7 blind Opus judges launched in parallel, one per calibration repo; per-repo pipeline: commit phase-1 -> audit -> continue judge	plan Judge protocol + blindness mechanism	corpus-ext/BRIEF.md	launched
2026-08-23	wave1	phase-1 sites committed pre-audit; blindness proof = commit precedence for all EXCEPT open-metric-learning (report+audit batched into ccfb443 — corrected at close; blindness held via phase-1-only report structure + judge PASS-before-audit)	criterion 2	git log; git show ccfb443	blind-audit-flagged
2026-08-23	wave1	stripped leaked </content></invoke> tool-call tails from bloodyAD/ha-wyzeapi reports (mechanical artifact, not findings; not an append-only violation)	schema conformance	corpus-ext/reports/*.wave1.md
2026-08-23	wave1	audits committed per repo AFTER its phase-1 commit; configs exclude only vendored files/dirs (bloodyAD Impacket, OML external*)	invariant: configs exclude vendored only	corpus-ext/audits/*.wave1.json
2026-08-23	adjudicate	all 7 phase-2/3 verdicts in; 1241 fp + 725 miss claims mapped to classes FP-A..J / FN-A..E / inventory-gaps; no judge class overruled	criterion 3	docs/status-gauntlet.md
2026-08-23	fix	4 fixes landed within discipline (semantic, fixture-pinned): FP-B #2 grounding, FP-A #22 overrides, FP-F #29 test-arm, FP-J #6 os.path	criterion 4	git log; probes in commit msgs
2026-08-23	adjudicate	won't-fix recorded: FP-C/E (#5 env artifact), FP-F-small (#29 threshold change barred by discipline); v3-design: FP-G/H/I/D, FN-A..E, zero-firing #3/#7/#12/#18/#23	criteria 4+9	docs/status-gauntlet.md
2026-08-23	wave2	re-audit new=0 all 7; 3 delta-judges (featuretools/OML/fastapi) confirm 0 new FP/FN classes -> converged (criterion 5)	plan Loop convergence	corpus-ext/audits/*.wave2.json
2026-08-23	wave2	FP-A recall cost: 13 lost TPs (velcro in framework/typing-marker subclasses); trialed marker carve-out reverted (readmitted ~20 FPs > 9 TPs); accepted as precision-over-recall, v3-recorded	wave-2 judge cross-refs	git 63.. b.py
2026-08-23	fix	5th fix: FP-B field carrier (None-defaulted dataclass fields); interprocedural no-default variant -> v3	criterion 4	src/sightline/provers/oracle.py
2026-08-23	heldout	deps for 3 held-out repos installed into shared venv (torch/transformers/numpy/scipy/sklearn/...); triton/xformers/decord skipped (Windows-hostile); configs point oracle python-env at it -> audits all notes:[]	criterion 6 needs resolved types	corpus-ext/configs/*.toml
2026-08-23	heldout	3 blind judges phases 1-3 (optimum 30, ttt 40, MLAlgorithms 27 sites); audits committed after each phase-1	criteria 2/6/7	corpus-ext/reports/{optimum,ttt-video-dit,MLAlgorithms}.wave1.md
2026-08-23	heldout	criterion 6: indexed 90% PASS, heuristic 75% PASS, proved 0-30% FAIL (FP-K torch stub unsoundness); blind optimum judge independently 0/20 proved	criterion 6	corpus-ext/precision-round4.md
2026-08-23	heldout	FP-K recorded not fixed (held-out ban: no detector change motivated by held-out); v3 highest priority (proved-tier stub-unsoundness veto)	Banned shortcuts	docs/status-gauntlet.md
2026-08-23	heldout	criterion 7 recall baseline: pooled 34/74=46% (MLAlgorithms 63, ttt 31, optimum 52); every miss classified det/thr/inv	criterion 7	docs/status-gauntlet.md
2026-08-23	close	gate ladder green at close: pytest 235, corpus polarity+determinism, ratchet, metric, fix, gate_bench; criteria walk 8/9 met (c6 partial)	criterion 8	git log; task outputs
2026-08-23	close	blind audit (fresh Opus, general-purpose) verified 5/6 items PASS; flagged OML blindness-by-commit gap (corrected) + stale 234->235; confirmed 5 fixture pairs (FP-J proven red pre-fix), proved-tier FAIL/FP-K (torch probe), recall 46% reconciliation	orchestrate close	task ad89ac23
2026-08-23	g2-frame	round-2 re-run on v4 declared: deltas ruled in docs/status-gauntlet2.md (engine d7fcaa4, rules #1-41, seed 202608232, pool reuse, round-1 repos excluded)	user directive: re-run gauntlet with 10 new repos on v4	docs/status-gauntlet2.md
2026-08-23	g2-source	seed 202608232 pinned in gauntlet_source.py BEFORE selection ran; select-time exclusion filter added (pool snapshot predates round-2 exclusions)	plan: pinned seed; never-seen filter	scripts/gauntlet_source.py
2026-08-23	g2-frame	briefs/schema updated to #1-41 (explain = grounding home for #32-41); #41 recall-denominator exclusion ruled	rule surface grew v2->v4	corpus-ext/BRIEF.md; corpus-ext/reports/SCHEMA.md
